Date,DOM,BDOM,xGD,BEXT,xGE,EXT
2023-03-04,Paris S-G,4.0,1.4,2.0,0.4,Nantes
2023-03-05,Troyes,2.0,0.9,2.0,3.0,Monaco
2023-03-05,Montpellier,5.0,2.9,0.0,0.9,Angers
2023-03-05,Toulouse,0.0,1.0,1.0,0.8,Clermont Foot
2023-03-05,Strasbourg,0.0,1.2,1.0,0.8,Brest
2023-03-05,Reims,1.0,0.6,0.0,0.4,Ajaccio
2023-03-05,Lyon,0.0,2.2,0.0,1.0,Lorient
2023-03-05,Rennes,0.0,1.0,1.0,1.6,Marseille
2023-03-10,Lille,3.0,2.3,3.0,0.8,Lyon
2023-03-11,Auxerre,0.0,0.7,0.0,0.5,Rennes
2023-03-11,Brest,1.0,0.6,2.0,2.6,Paris S-G
2023-03-12,Clermont Foot,0.0,1.2,4.0,2.0,Lens
2023-03-12,Lorient,2.0,1.9,0.0,0.7,Troyes
2023-03-12,Ajaccio,0.0,0.2,1.0,1.0,Montpellier
2023-03-12,Nantes,2.0,1.6,2.0,1.2,Nice
2023-03-12,Angers,0.0,1.7,2.0,1.6,Toulouse
2023-03-12,Monaco,0.0,0.9,1.0,1.9,Reims
2023-03-12,Marseille,2.0,1.6,2.0,2.1,Strasbourg
2023-03-17,Lyon,1.0,1.4,1.0,1.7,Nantes
2023-03-18,Toulouse,0.0,2.3,2.0,1.4,Lille
2023-03-18,Lens,3.0,1.6,0.0,0.5,Angers
2023-03-31,Marseille,1.0,1.3,1.0,0.9,Montpellier
2023-04-07,Lens,2.0,1.0,1.0,0.8,Strasbourg
2023-04-14,Toulouse,1.0,1.2,2.0,2.3,Lyon
2023-04-15,Rennes,3.0,2.9,0.0,0.4,Reims
2023-04-15,Paris S-G,3.0,1.2,1.0,1.8,Lens
2023-04-16,Lille,2.0,2.1,1.0,0.4,Montpellier
